Gender,University_Ranking,Updated_University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Job_Offers,Current_Job_Level,Job_Status
Male,672,7.0,Engineering,3,1,4,6,5,Mid,No
Other,898,7.0,Medicine,3,3,2,5,3,Entry,No
Male,88,8.5,Mathematics,4,4,4,1,0,Entry,No
Female,877,8.5,Business,4,8,1,6,4,Entry,Yes
Female,571,9.5,Business,1,8,4,8,2,Entry,Yes
Female,764,8.5,Engineering,0,7,3,5,4,Entry,No
Other,219,9.5,Business,2,3,3,3,3,Entry,No
Male,713,9.5,Computer Science,1,5,2,3,1,Senior,No
Male,589,7.0,Arts,0,6,5,2,3,Mid,No
Male,767,7.0,Law,1,0,0,9,4,Mid,No
Male,759,9.5,Arts,4,0,4,9,3,Senior,Yes
Male,270,9.5,Mathematics,4,3,2,7,2,Entry,Yes
Male,819,9.5,Law,3,2,3,1,5,Mid,Yes
Female,651,8.5,Engineering,2,9,5,1,5,Entry,No
Female,78,9.5,Medicine,2,3,0,4,4,Senior,No
Male,592,8.5,Medicine,2,8,0,2,4,Entry,No
Female,10,9.5,Engineering,1,1,1,3,1,Entry,No
Male,468,9.5,Mathematics,1,3,5,2,2,Entry,No
Male,336,7.0,Engineering,2,6,3,1,0,Senior,No
Female,636,7.0,Business,3,1,0,3,1,Entry,No
Female,186,7.0,Medicine,0,7,1,7,2,Senior,No
Female,546,8.5,Arts,1,9,1,10,5,Entry,Yes
Male,121,9.5,Engineering,2,3,3,9,0,Entry,Yes
Female,592,7.0,Mathematics,4,8,0,10,5,Entry,Yes
Female,718,9.5,Mathematics,1,0,5,9,4,Entry,Yes
Female,565,8.5,Arts,0,6,0,8,5,Mid,No
Female,668,9.5,Law,1,0,4,6,1,Mid,No
Female,274,9.5,Arts,0,9,0,1,4,Entry,Yes
Female,410,9.5,Mathematics,0,8,1,8,4,Entry,Yes
Female,358,9.5,Medicine,1,9,2,8,4,Entry,Yes
Other,647,8.5,Law,0,9,3,9,2,Entry,Yes
Female,941,9.5,Arts,1,0,2,10,0,Entry,Yes
Male,98,7.0,Business,1,2,0,6,2,Mid,No
Female,241,8.5,Business,3,6,5,3,4,Entry,Yes
Male,557,7.0,Medicine,4,0,5,6,1,Mid,No
Male,711,9.5,Business,0,4,1,8,5,Mid,No
Female,993,9.5,Engineering,1,5,2,7,4,Entry,No
Female,803,9.5,Law,0,2,3,8,0,Entry,No
Female,948,8.5,Medicine,1,5,4,3,2,Senior,No
Male,114,7.0,Law,1,3,2,8,0,Entry,No
Female,487,9.5,Mathematics,1,5,5,5,2,Senior,No
Male,789,9.5,Arts,4,5,4,7,5,Mid,Yes
Other,241,8.5,Engineering,0,3,5,4,0,Mid,No
Other,156,9.5,Medicine,4,0,0,3,0,Mid,Yes
Female,352,7.0,Arts,4,2,0,6,2,Entry,No
Female,44,7.0,Arts,4,9,3,9,2,Entry,Yes
Female,592,8.5,Arts,4,6,4,4,2,Senior,Yes
Female,312,7.0,Arts,3,1,4,9,3,Mid,Yes
Male,138,7.0,Arts,0,3,3,3,5,Mid,No
Male,663,9.5,Medicine,0,5,5,6,0,Entry,No
Female,944,9.5,Business,1,4,2,5,3,Entry,No
Female,436,8.5,Arts,0,5,3,9,3,Senior,No
Male,754,9.5,Mathematics,4,4,0,6,4,Entry,Yes
Female,143,9.5,Mathematics,2,8,4,2,3,Senior,Yes
Male,823,7.0,Engineering,0,1,1,4,3,Entry,No
Female,299,9.5,Medicine,2,3,5,5,2,Mid,No
Female,562,9.5,Computer Science,3,0,1,9,2,Entry,Yes
Female,262,7.0,Business,1,6,0,1,1,Mid,No
Female,512,8.5,Engineering,1,0,4,9,5,Entry,No
Male,673,8.5,Mathematics,1,5,4,10,0,Mid,No
Male,62,9.5,Arts,3,9,3,1,5,Senior,Yes
Female,567,7.0,Medicine,4,9,2,1,3,Entry,Yes
Female,423,9.5,Medicine,2,8,3,4,3,Entry,Yes
Male,396,9.5,Arts,0,1,1,6,0,Entry,No
Female,884,8.5,Mathematics,4,0,4,2,5,Mid,No
Male,996,9.5,Engineering,1,9,2,1,2,Entry,Yes
Female,31,9.5,Medicine,1,2,3,4,2,Entry,No
Female,330,8.5,Law,4,5,2,8,0,Entry,No
Male,949,9.5,Mathematics,2,6,5,6,0,Entry,Yes
Male,802,7.0,Mathematics,4,7,5,5,2,Entry,Yes
Female,169,7.0,Business,3,3,1,1,0,Entry,No
Female,266,8.5,Engineering,1,7,2,3,5,Entry,No
Female,308,9.5,Mathematics,2,6,5,7,2,Entry,Yes
Female,459,9.5,Arts,0,7,4,10,0,Mid,Yes
Female,185,8.5,Mathematics,1,4,5,3,2,Entry,No
Other,334,7.0,Engineering,4,9,2,5,1,Entry,Yes
Female,515,7.0,Law,2,6,2,6,2,Mid,No
Female,441,9.5,Mathematics,1,3,3,9,2,Mid,Yes
Male,673,9.5,Engineering,0,0,2,3,3,Entry,No
Male,391,9.5,Mathematics,0,2,2,6,5,Mid,No
Female,772,9.5,Computer Science,4,9,1,2,2,Executive,Yes
Male,935,9.5,Arts,3,8,2,9,0,Executive,Yes
Female,560,7.0,Business,4,3,3,9,4,Mid,Yes
Female,254,8.5,Arts,2,4,3,7,0,Entry,No
Female,586,9.5,Computer Science,4,2,4,9,3,Entry,Yes
Male,335,9.5,Arts,2,5,5,4,0,Entry,No
Male,400,7.0,Arts,3,3,1,10,1,Entry,Yes
Male,166,9.5,Business,4,4,0,1,4,Senior,Yes
Male,260,9.5,Computer Science,0,6,4,1,4,Entry,Yes
Male,4,8.5,Arts,2,6,2,2,5,Mid,No
Female,888,9.5,Law,2,8,5,10,3,Entry,Yes
Female,119,9.5,Mathematics,0,1,1,3,5,Entry,No
Female,996,7.0,Arts,4,3,4,2,4,Executive,No
Female,923,9.5,Medicine,3,7,3,4,2,Entry,Yes
Male,470,8.5,Arts,1,3,1,8,3,Entry,No
Female,470,8.5,Business,4,2,1,3,5,Mid,No
Female,785,9.5,Medicine,4,9,2,4,1,Mid,Yes
Male,493,8.5,Law,2,5,1,2,4,Entry,No
Female,738,7.0,Mathematics,2,2,5,1,4,Mid,No
Male,864,7.0,Law,3,1,5,8,3,Entry,No
Female,500,7.0,Law,3,8,1,7,4,Entry,Yes
Other,70,8.5,Computer Science,3,2,0,10,4,Entry,Yes
Male,694,9.5,Law,0,0,2,2,1,Mid,No
Female,865,7.0,Engineering,1,8,1,8,1,Entry,No
Female,776,9.5,Business,1,4,1,10,3,Senior,Yes
Other,370,9.5,Computer Science,3,6,0,3,4,Mid,Yes
Male,181,8.5,Medicine,2,1,0,7,5,Senior,No
Female,996,9.5,Engineering,1,0,3,1,0,Mid,No
Male,5,9.5,Computer Science,4,5,2,3,3,Entry,Yes
Male,197,8.5,Business,0,4,0,9,5,Entry,No
Male,47,8.5,Medicine,2,9,1,4,1,Mid,No
Other,970,9.5,Business,0,5,0,1,0,Entry,No
Female,552,9.5,Business,4,1,4,6,5,Mid,Yes
Female,634,8.5,Medicine,1,6,3,1,5,Entry,No
Female,647,8.5,Law,0,0,3,10,4,Mid,No
Male,140,8.5,Arts,0,7,5,1,3,Senior,No
Male,862,7.0,Business,0,6,2,2,3,Entry,No
Male,665,9.5,Law,4,6,3,3,1,Mid,Yes
Male,540,8.5,Mathematics,2,5,2,2,2,Entry,No
Male,427,7.0,Medicine,2,9,4,8,2,Entry,No
Male,589,8.5,Business,4,4,5,6,2,Entry,No
Male,687,7.0,Arts,0,8,1,1,3,Entry,No
Male,561,8.5,Mathematics,0,2,4,6,1,Mid,No
Male,854,7.0,Medicine,3,8,2,1,1,Mid,Yes
Male,310,7.0,Computer Science,1,4,2,9,2,Entry,No
Other,274,9.5,Computer Science,1,7,2,3,0,Entry,Yes
Female,539,9.5,Law,2,2,1,1,2,Entry,No
Other,840,7.0,Computer Science,4,6,5,1,3,Executive,Yes
Male,390,9.5,Engineering,0,9,5,2,0,Mid,Yes
Male,459,8.5,Business,1,3,2,6,1,Senior,No
Female,733,8.5,Business,4,4,4,1,4,Mid,No
Male,634,8.5,Medicine,4,3,5,7,5,Entry,No
Male,361,8.5,Engineering,0,8,1,4,0,Mid,No
Male,69,9.5,Business,4,6,4,7,1,Mid,Yes
Male,583,7.0,Medicine,1,5,1,4,0,Entry,No
Male,662,7.0,Arts,3,5,2,4,2,Entry,No
Male,699,9.5,Business,1,9,5,4,0,Mid,Yes
Female,431,9.5,Law,3,6,1,10,0,Mid,Yes
Male,885,9.5,Business,4,4,0,10,0,Entry,Yes
Male,758,8.5,Arts,1,9,4,8,3,Senior,No
Female,708,8.5,Arts,0,2,0,2,5,Mid,No
Male,32,8.5,Business,4,2,0,8,3,Mid,No
Male,979,8.5,Arts,0,6,2,10,5,Mid,Yes
Female,621,9.5,Medicine,3,9,2,1,2,Entry,Yes
Male,865,9.5,Business,2,0,0,7,4,Senior,No
Male,513,9.5,Business,2,3,1,7,3,Entry,No
Female,182,9.5,Computer Science,3,9,2,6,4,Entry,Yes
Male,686,8.5,Law,2,7,4,4,3,Senior,No
Female,681,8.5,Business,4,3,0,5,1,Entry,No
Female,248,8.5,Mathematics,4,0,4,1,1,Senior,No
Male,620,9.5,Computer Science,1,4,5,2,0,Entry,No
Female,882,8.5,Arts,4,0,4,10,4,Mid,Yes
Female,297,9.5,Law,2,8,4,7,0,Entry,Yes
Male,776,9.5,Law,0,7,0,2,5,Mid,Yes
Female,928,9.5,Arts,1,6,3,8,0,Entry,Yes
Male,30,9.5,Medicine,0,4,5,7,3,Senior,No
Female,302,9.5,Computer Science,2,3,2,10,3,Entry,Yes
Male,476,9.5,Business,0,6,4,8,0,Entry,Yes
Male,873,9.5,Computer Science,2,2,0,4,5,Entry,No
Male,948,7.0,Arts,4,7,3,1,3,Executive,Yes
Female,352,7.0,Arts,1,4,0,7,5,Senior,No
Male,985,9.5,Mathematics,3,4,2,1,1,Entry,Yes
Male,482,9.5,Medicine,2,0,0,7,1,Senior,No
Male,317,8.5,Law,4,9,1,9,4,Senior,Yes
Female,737,7.0,Law,0,7,5,5,1,Mid,No
Female,397,9.5,Arts,4,6,1,2,5,Entry,Yes
Female,89,9.5,Computer Science,0,0,4,1,0,Entry,No
Female,234,8.5,Law,0,3,0,8,2,Entry,No
Female,168,9.5,Mathematics,0,3,0,4,3,Entry,No
Male,743,9.5,Mathematics,0,8,4,8,0,Senior,Yes
Female,126,9.5,Business,1,9,4,2,3,Entry,Yes
Female,573,8.5,Business,0,1,5,3,4,Senior,No
Other,120,8.5,Computer Science,1,3,3,3,0,Senior,No
Female,428,8.5,Medicine,3,9,0,4,0,Senior,Yes
Male,190,8.5,Business,1,2,2,9,0,Mid,No
Male,633,7.0,Computer Science,0,9,2,9,4,Mid,Yes
Female,428,9.5,Computer Science,3,4,2,5,0,Senior,Yes
Female,560,8.5,Arts,4,6,4,7,3,Entry,Yes
Female,202,9.5,Law,1,4,4,9,2,Mid,Yes
Female,59,9.5,Arts,4,4,4,1,0,Mid,Yes
Female,697,7.0,Law,3,3,2,2,4,Entry,No
Male,223,9.5,Medicine,1,8,3,6,4,Mid,Yes
Female,492,9.5,Medicine,0,5,5,3,0,Entry,No
Male,11,9.5,Medicine,1,9,1,7,4,Senior,Yes
Male,793,8.5,Computer Science,0,5,0,5,1,Mid,No
Male,701,9.5,Computer Science,2,5,1,10,5,Mid,Yes
Female,512,8.5,Arts,1,5,0,8,4,Mid,No
Male,814,9.5,Business,1,0,4,1,2,Entry,No
Male,310,7.0,Mathematics,4,5,2,9,1,Mid,Yes
Female,749,9.5,Law,4,3,1,10,3,Mid,Yes
Male,34,8.5,Law,3,1,4,6,1,Entry,No
Female,340,7.0,Medicine,0,5,0,5,2,Entry,No
Female,647,9.5,Law,4,0,5,8,5,Senior,Yes
Female,481,9.5,Engineering,3,0,5,4,1,Mid,Yes
Female,574,8.5,Medicine,0,4,1,9,0,Mid,No
Male,825,7.0,Mathematics,0,5,1,5,4,Entry,No
Female,739,9.5,Law,0,1,1,1,0,Mid,No
Male,93,9.5,Arts,2,9,1,8,0,Mid,Yes
Female,628,7.0,Law,0,7,1,9,0,Entry,Yes
Male,844,9.5,Computer Science,3,3,4,5,1,Entry,Yes
Female,133,8.5,Arts,0,3,0,5,3,Entry,No
Male,844,7.0,Arts,0,9,0,6,5,Mid,No
Male,989,9.5,Arts,3,4,3,9,4,Mid,Yes
Male,419,9.5,Engineering,1,9,2,5,1,Entry,Yes
Male,468,9.5,Engineering,0,3,5,2,5,Entry,No
Female,805,7.0,Law,3,4,1,3,0,Mid,No
Male,444,9.5,Medicine,4,9,5,10,2,Entry,Yes
Female,705,8.5,Law,3,2,0,3,2,Entry,No
Other,912,9.5,Law,2,7,2,9,0,Mid,Yes
Female,30,7.0,Law,4,5,2,8,3,Mid,No
Male,969,8.5,Mathematics,1,7,4,6,5,Mid,No
Male,298,9.5,Computer Science,1,4,1,5,4,Mid,No
Female,61,8.5,Arts,3,6,3,10,5,Mid,Yes
Male,458,9.5,Business,3,9,2,2,1,Senior,Yes
Male,973,9.5,Mathematics,0,6,4,9,3,Senior,Yes
Female,304,7.0,Medicine,0,5,1,10,2,Mid,No
Female,958,9.5,Medicine,2,9,0,8,0,Mid,Yes
Female,340,8.5,Arts,0,3,3,5,1,Executive,No
Male,861,7.0,Medicine,3,5,1,6,3,Entry,No
Female,448,9.5,Arts,3,8,4,9,5,Entry,Yes
Male,953,9.5,Medicine,0,3,5,1,3,Senior,No
Male,836,8.5,Law,2,5,4,4,3,Senior,No
Female,302,9.5,Computer Science,3,5,4,5,5,Senior,Yes
Male,881,8.5,Mathematics,2,2,4,9,1,Senior,No
Male,540,9.5,Mathematics,3,3,4,5,4,Entry,Yes
Male,485,9.5,Medicine,2,2,3,5,5,Senior,No
Female,77,8.5,Mathematics,2,2,2,3,1,Entry,No
Female,633,9.5,Medicine,2,9,2,8,5,Senior,Yes
Female,515,9.5,Business,0,3,0,7,0,Mid,No
Female,549,8.5,Mathematics,1,3,2,8,1,Entry,No
Male,944,9.5,Computer Science,2,5,4,4,3,Mid,No
Male,659,9.5,Mathematics,2,3,2,8,4,Entry,No
Male,92,8.5,Law,3,5,5,10,4,Entry,Yes
Male,851,9.5,Computer Science,1,1,5,4,0,Entry,No
Female,785,8.5,Mathematics,3,3,2,1,0,Entry,No
Female,466,8.5,Computer Science,3,1,4,4,2,Mid,No
Male,466,9.5,Mathematics,2,7,3,5,2,Entry,Yes
Male,889,9.5,Medicine,4,8,4,10,2,Executive,Yes
Male,599,9.5,Engineering,1,6,2,8,1,Entry,Yes
Male,40,8.5,Medicine,3,5,2,10,4,Senior,Yes
Female,690,9.5,Arts,4,7,0,6,0,Executive,Yes
Male,329,9.5,Mathematics,4,3,4,10,2,Entry,Yes
Male,285,8.5,Business,3,9,0,5,0,Entry,Yes
Female,947,7.0,Computer Science,2,1,0,3,2,Entry,No
Male,554,9.5,Arts,0,3,1,4,1,Senior,No
Female,797,8.5,Law,3,4,5,6,5,Senior,No
Male,66,7.0,Arts,2,8,0,6,1,Entry,No
Female,636,9.5,Engineering,1,4,5,6,3,Entry,No
Other,657,9.5,Mathematics,2,8,2,2,0,Senior,Yes
Female,632,9.5,Computer Science,4,8,2,8,5,Mid,Yes
Male,109,9.5,Medicine,1,7,1,8,5,Entry,Yes
Female,415,9.5,Computer Science,1,4,1,6,3,Senior,No
Male,92,9.5,Business,0,1,4,4,5,Executive,No
Male,368,7.0,Computer Science,0,4,1,2,1,Entry,No
Male,820,7.0,Arts,3,0,3,6,5,Entry,No
Male,423,7.0,Arts,2,7,2,6,1,Senior,No
Female,572,7.0,Medicine,3,1,2,10,5,Mid,Yes
Female,862,8.5,Medicine,0,6,5,3,5,Executive,No
Female,739,8.5,Medicine,4,1,1,2,0,Senior,No
Female,240,7.0,Law,0,4,5,4,3,Entry,No
Female,435,7.0,Mathematics,2,9,1,8,5,Mid,No
Male,212,9.5,Business,4,6,2,5,5,Mid,Yes
Male,400,8.5,Law,3,5,1,3,3,Entry,No
Female,610,9.5,Law,3,4,4,5,3,Entry,Yes
Male,526,7.0,Law,0,5,1,9,0,Mid,No
Female,730,9.5,Computer Science,0,1,1,8,0,Entry,No
Male,468,9.5,Engineering,3,9,4,10,0,Mid,Yes
Male,170,9.5,Mathematics,3,0,4,7,4,Entry,Yes
Male,819,9.5,Computer Science,1,0,4,4,5,Mid,No
Male,792,9.5,Medicine,2,7,5,2,1,Entry,Yes
Male,875,7.0,Business,1,2,2,9,4,Senior,No
Female,210,9.5,Law,1,2,1,3,4,Entry,No
Male,256,9.5,Computer Science,3,8,4,6,1,Senior,Yes
Female,683,9.5,Mathematics,2,5,4,7,5,Entry,No
Male,73,8.5,Arts,3,3,2,3,2,Mid,No
Male,147,9.5,Mathematics,1,3,3,3,2,Entry,No
Male,340,9.5,Law,1,6,1,3,2,Senior,Yes
Female,317,9.5,Mathematics,3,5,3,3,0,Senior,Yes
Male,618,9.5,Computer Science,0,1,3,3,0,Senior,No
Female,606,7.0,Arts,0,8,4,7,3,Mid,No
Male,575,8.5,Computer Science,3,1,5,5,3,Entry,No
Female,154,8.5,Computer Science,4,7,2,4,4,Mid,Yes
Male,255,8.5,Law,4,3,1,6,3,Executive,No
Female,351,7.0,Computer Science,0,9,1,8,0,Mid,No
Female,547,7.0,Medicine,2,0,1,2,4,Executive,No
Female,835,8.5,Mathematics,1,0,5,3,3,Entry,No
Male,312,8.5,Arts,2,8,3,2,3,Senior,No
Male,808,7.0,Business,0,3,0,7,2,Mid,No
Male,765,9.5,Engineering,3,0,2,2,0,Senior,Yes
Female,669,9.5,Mathematics,4,2,0,5,4,Mid,Yes
Female,134,9.5,Law,0,2,3,10,1,Entry,Yes
Female,948,7.0,Arts,2,6,4,9,5,Mid,Yes
Male,129,9.5,Medicine,2,5,0,8,3,Senior,No
Male,436,9.5,Arts,0,7,0,8,0,Entry,Yes
Male,280,9.5,Business,1,6,2,3,4,Executive,Yes
Other,358,9.5,Law,2,0,3,1,5,Entry,No
Female,930,9.5,Arts,1,2,2,2,0,Entry,No
Female,883,9.5,Mathematics,1,8,4,7,0,Entry,Yes
Male,252,7.0,Medicine,3,3,5,4,4,Senior,No
Female,135,7.0,Law,0,2,5,10,2,Entry,No
Female,843,9.5,Medicine,0,4,5,5,5,Mid,No
Male,523,7.0,Law,1,7,1,1,2,Mid,No
Female,804,7.0,Engineering,3,0,5,2,3,Entry,No
Female,660,9.5,Business,2,1,5,9,2,Entry,Yes
Female,319,8.5,Engineering,2,6,3,6,3,Entry,No
Female,80,9.5,Mathematics,0,0,5,7,3,Mid,No
Male,191,9.5,Mathematics,1,4,5,5,4,Entry,No
Male,453,8.5,Mathematics,3,9,4,9,0,Entry,Yes
Other,344,7.0,Computer Science,3,7,4,10,1,Executive,Yes
Male,30,7.0,Mathematics,2,5,0,5,1,Senior,No
Female,414,7.0,Medicine,2,2,2,6,2,Mid,No
Female,871,7.0,Engineering,4,6,0,10,4,Mid,Yes
Female,368,7.0,Medicine,4,2,0,9,1,Entry,Yes
Other,741,8.5,Law,1,4,1,5,0,Mid,No
Male,993,8.5,Medicine,4,6,2,4,3,Executive,Yes
Male,596,9.5,Computer Science,3,1,1,5,3,Senior,Yes
Male,502,9.5,Medicine,4,9,5,5,4,Entry,Yes
Male,662,9.5,Law,0,3,4,5,2,Entry,No
Male,873,9.5,Law,0,1,5,1,0,Executive,No
Male,701,7.0,Engineering,2,6,1,5,2,Entry,No
Female,21,9.5,Mathematics,2,2,4,5,2,Mid,No
Female,549,8.5,Business,1,8,0,1,4,Entry,No
Male,246,7.0,Arts,0,5,5,4,3,Senior,No
Male,283,9.5,Engineering,1,0,1,8,2,Entry,No
Female,614,8.5,Computer Science,1,9,5,4,2,Mid,No
Male,931,7.0,Arts,4,7,2,7,0,Entry,Yes
Male,806,9.5,Medicine,2,6,1,6,5,Entry,Yes
Male,232,9.5,Engineering,1,0,4,5,3,Mid,No
Female,316,8.5,Arts,1,2,3,9,2,Entry,No
Male,838,8.5,Mathematics,2,2,5,8,5,Entry,No
Other,800,9.5,Mathematics,2,2,5,5,1,Entry,No
Male,336,9.5,Engineering,0,6,2,10,5,Entry,Yes
Female,988,7.0,Mathematics,2,5,4,7,1,Executive,No
Male,976,9.5,Medicine,4,1,5,9,3,Entry,Yes
Male,411,9.5,Law,0,4,3,7,3,Senior,No
Female,245,8.5,Engineering,1,5,5,3,4,Entry,No
Female,387,9.5,Computer Science,4,1,2,10,5,Entry,Yes
Female,689,9.5,Arts,4,0,3,5,2,Mid,Yes
Female,725,8.5,Arts,0,3,0,9,1,Entry,No
Female,358,9.5,Arts,1,3,0,9,5,Mid,Yes
Female,614,7.0,Engineering,0,3,5,8,1,Entry,No
Female,798,9.5,Medicine,3,0,1,6,3,Mid,Yes
Male,22,9.5,Engineering,3,2,1,7,3,Senior,Yes
Male,19,7.0,Engineering,0,6,1,7,0,Executive,No
Male,287,9.5,Mathematics,1,3,1,1,0,Mid,No
Female,276,9.5,Law,1,1,5,8,3,Mid,No
Male,659,8.5,Arts,2,7,3,6,0,Entry,No
Male,898,7.0,Medicine,4,0,2,7,3,Mid,No
Female,552,7.0,Business,0,8,2,10,5,Executive,Yes
Female,679,9.5,Medicine,4,4,1,10,3,Entry,Yes
Female,603,9.5,Mathematics,4,1,0,2,4,Mid,Yes
Male,72,9.5,Engineering,3,3,4,7,0,Mid,Yes
